"Species";"group"
"Apopellia_endiviifolia_A1";"endiviifolia_water"
"Apopellia_endiviifolia_A2";"endiviifolia_water"
"Apopellia_endiviifolia_A3";"endiviifolia_water"
"Apopellia_endiviifolia_A4";"endiviifolia_water"
"Apopellia_endiviifolia_B1";"endiviifolia_typical"
"Apopellia_endiviifolia_B2";"endiviifolia_typical"
"Apopellia_endiviifolia_B3";"endiviifolia_typical"
"Apopellia_endiviifolia_B4";"endiviifolia_typical"
"Apopellia_endiviifolia_C1";"endiviifolia_spring"
"Apopellia_endiviifolia_C2";"endiviifolia_spring"
"Pellia_borealis_1";"borealis"
"Pellia_borealis_2";"borealis"
"Pellia_epiphylla_S1";"epiphylla_south"
"Pellia_epiphylla_S2";"epiphylla_south"
"Pellia_epiphylla_S3";"epiphylla_south"
"Pellia_epiphylla_N1";"epiphylla_north"
"Pellia_epiphylla_N2";"epiphylla_north"
"Pellia_epiphylla_N3";"epiphylla_north"
"Pellia_epiphylla_N4";"epiphylla_north"
"Pellia_epiphylla_N5";"epiphylla_north"
"Pellia_neesiana_1";"neesiana"
"Pellia_neesiana_2";"neesiana"
"Pellia_neesiana_3";"neesiana"
